french,english
un livre,book
un couteau,knife
une fourchette,fork
une cuillère,spoon
une assiette,plate
un bol,bowl
un verre,glass
une tasse,cup
une poêle,frying pan
une casserole,saucepan
un réfrigérateur,refrigerator
une robe,dress
un chapeau,hat
une chaussure,shoe
un manteau,coat
une chemise,shirt
une ceinture,belt
un pantalon,trousers
une botte,boot
un gant,glove
une veste,jacket
une jupe,skirt
une cravate,necktie
une tête,head
une main,hand
un œil,eye
un cœur,heart
un pied,foot
une langue,tongue
un sang,blood
un bras,arm
un dos,back
un front,forehead
une figure,face
une bouche,mouth
une oreille,ear
un doigt,finger
un train, train
une rue, street
une voie, road
une voiture, car
un transport, transportation
un bateau, boat
un port, harbor
un avion, plane
un navire, ship
un vol, flight
une chaussette, sock
un stylo, pen
